year,state,seat_code_no,seat_code,seat_name,candidate,party,coalition,winlose,is_uncontested,votes,majority,margin,voteshare,total_eligible,total_voted,total_majority,votes_spoilt,race_malay,race_chinese,race_indian,race_others,race_bumi_east_msia,data_errors
2004,Kedah,15,P15,Sungai Petani,Zamri Yusof,PKR,Pakatan,0,0,18565,-17502,-0.3203616927807878,0.3398191536096061,70920,54632,17502,1007,0.58,0.31,0.11,0.01,0.0,
2004,Kedah,16,P16,Baling,Datuk Dr Mashitah Ibrahim,UMNO,BN,1,0,32661,4229,0.0692223331641923,0.5346111665820962,74698,61093,4229,1109,0.87,0.06,0.05,0.01,0.0,
2004,Kedah,16,P16,Baling,Taib Azamudden Md Taib,PAS,Pakatan,0,0,28432,-4229,-0.0692223331641923,0.4653888334179038,74698,61093,4229,1109,0.87,0.06,0.05,0.01,0.0,
2004,Kedah,17,P17,Padang Serai,Lim Bee Kau,MCA,BN,1,0,26269,10316,0.2443276017242196,0.6221638008621098,53925,42222,10316,1075,0.53,0.24,0.23,0.01,0.0,
2004,Kedah,17,P17,Padang Serai,Saifuddin Nasution Ismail,PKR,Pakatan,0,0,15953,-10316,-0.2443276017242196,0.3778361991378902,53925,42222,10316,1075,0.53,0.24,0.23,0.01,0.0,
2004,Kedah,18,P18,Kulim Bandar Baharu,Datuk Paduka Abdul Kadir Sheikh Fadzir,UMNO,BN,1,0,22556,7998,0.21549819475130677,0.6077490973756534,50024,37114,7998,1181,0.67,0.21,0.12,0.0,0.0,
2004,Kedah,18,P18,Kulim Bandar Baharu,Alwi Mohamed Yusop,PKR,Pakatan,0,0,14558,-7998,-0.21549819475130677,0.3922509026243466,50024,37114,7998,1181,0.67,0.21,0.12,0.0,0.0,
2004,Kelantan,19,P19,Tumpat,Mat Nawawi Mat Jusoh,UMNO,BN,0,0,26099,-1820,-0.033692472879410566,0.4831537635602947,70810,54018,1820,1072,0.92,0.03,0.01,0.04,0.0,
2004,Kelantan,19,P19,Tumpat,Datuk Kamarudin Jaafar,PAS,Pakatan,1,0,27919,1820,0.033692472879410566,0.5168462364397053,70810,54018,1820,1072,0.92,0.03,0.01,0.04,0.0,
2004,Kelantan,20,P20,Pengkalan Chepa,Datuk Dr Nik Mohd Zain Omar,UMNO,BN,0,0,14399,-6222,-0.17766990291262136,0.4111650485436893,44844,35020,6222,818,0.97,0.02,0.0,0.0,0.0,
2004,Kelantan,20,P20,Pengkalan Chepa,Datuk Ab Halim Ab Rahman,PAS,Pakatan,1,0,20621,6222,0.17766990291262136,0.5888349514563107,44844,35020,6222,818,0.97,0.02,0.0,0.0,0.0,
2004,Kelantan,21,P21,Kota Bahru,Datuk Zaid Ibrahim,UMNO,BN,1,0,23831,1723,0.03750625829904874,0.5187531291495243,61409,45939,1723,768,0.79,0.19,0.01,0.01,0.0,
2004,Kelantan,21,P21,Kota Bahru,Nik Mahmood Nik Hassan,PKR,Pakatan,0,0,22108,-1723,-0.03750625829904874,0.4812468708504756,61409,45939,1723,768,0.79,0.19,0.01,0.01,0.0,
2004,Kelantan,22,P22,Pasir Mas,Datuk Abd Rahim Ab Rahman,UMNO,BN,0,0,16275,-1251,-0.03127578189454736,0.40688517212930325,52771,39999,1251,1396,0.96,0.04,0.0,0.0,0.0,
2004,Kelantan,22,P22,Pasir Mas,Ismail Noh,PAS,Pakatan,1,0,17526,1251,0.03127578189454736,0.4381609540238506,52771,39999,1251,1396,0.96,0.04,0.0,0.0,0.0,
2004,Kelantan,22,P22,Pasir Mas,Datuk Ibrahim Ali,Ind,NA,0,0,6198,-11328,-0.03127578189454736,0.15495387384684617,52771,39999,1251,1396,0.96,0.04,0.0,0.0,0.0,
2004,Kelantan,23,P23,Rantau Panjang,Mohd Daud Hamat,UMNO,BN,0,0,14295,-732,-0.024964190710047063,0.48751790464497646,40956,29322,732,701,0.98,0.01,0.0,0.01,0.0,
2004,Kelantan,23,P23,Rantau Panjang,Abdul Fatah Haron,PAS,Pakatan,1,0,15027,732,0.024964190710047063,0.5124820953550235,40956,29322,732,701,0.98,0.01,0.0,0.01,0.0,
2004,Kelantan,24,P24,Kubang Kerian,Datuk Ahmad Rusli Iberahim,UMNO,BN,0,0,15803,-5627,-0.1511293744796283,0.42443531276018587,47148,37233,5627,1225,0.98,0.02,0.0,0.0,0.0,
2004,Kelantan,24,P24,Kubang Kerian,Salahuddin Ayub,PAS,Pakatan,1,0,21430,5627,0.1511293744796283,0.5755646872398141,47148,37233,5627,1225,0.98,0.02,0.0,0.0,0.0,
2004,Kelantan,25,P25,Bachok,Datuk Dr Awang Adek Hussin,UMNO,BN,1,0,25194,3272,0.06944562356736565,0.5347228117836829,55319,47116,3272,893,0.98,0.01,0.0,0.0,0.0,
2004,Kelantan,25,P25,Bachok,Wan Nik Wan Yusof,PAS,Pakatan,0,0,21922,-3272,-0.06944562356736565,0.4652771882163172,55319,47116,3272,893,0.98,0.01,0.0,0.0,0.0,
2004,Kelantan,26,P26,Ketereh,Md Alwi Che Ahmad,UMNO,BN,1,0,20024,2888,0.07771797631862218,0.5388589881593111,46493,37160,2888,751,0.97,0.02,0.0,0.01,0.0,
2004,Kelantan,26,P26,Ketereh,Muamad Mustafa,PKR,Pakatan,0,0,17136,-2888,-0.07771797631862218,0.4611410118406889,46493,37160,2888,751,0.97,0.02,0.0,0.01,0.0,
2004,Kelantan,27,P27,Tanah Merah,Shaari Hassan,UMNO,BN,1,0,16107,2527,0.08512143362414525,0.5425607168120726,37665,29687,2527,788,0.93,0.05,0.01,0.01,0.0,
2004,Kelantan,27,P27,Tanah Merah,Saupi Daud,PKR,Pakatan,0,0,13580,-2527,-0.08512143362414525,0.45743928318792737,37665,29687,2527,788,0.93,0.05,0.01,0.01,0.0,
2004,Kelantan,28,P28,Pasir Puteh,Che Min Che Ahmad,UMNO,BN,0,0,23208,-3810,-0.07585712579142277,0.4620714371042886,57308,50226,3810,1184,0.98,0.02,0.0,0.01,0.0,
2004,Kelantan,28,P28,Pasir Puteh,Kalthom Othman,PAS,Pakatan,1,0,27018,3810,0.07585712579142277,0.5379285628957113,57308,50226,3810,1184,0.98,0.02,0.0,0.01,0.0,
2004,Kelantan,29,P29,Machang,Sazmi Miah,UMNO,BN,1,0,17464,135,0.0038800908228666686,0.5019400454114333,43874,34793,135,599,0.95,0.05,0.0,0.0,0.0,
2004,Kelantan,29,P29,Machang,Mohd Yusof Mohd Noor,PAS,Pakatan,0,0,17329,-135,-0.0038800908228666686,0.49805995458856667,43874,34793,135,599,0.95,0.05,0.0,0.0,0.0,
2004,Kelantan,30,P30,Jeli,Datuk Mustapa Mohamed,UMNO,BN,1,0,16960,7353,0.2767719351074642,0.6383859675537321,32729,26567,7353,394,0.99,0.0,0.0,0.01,0.0,
2004,Kelantan,30,P30,Jeli,Mohd Apandi Mohamed,PAS,Pakatan,0,0,9607,-7353,-0.2767719351074642,0.36161403244626794,32729,26567,7353,394,0.99,0.0,0.0,0.01,0.0,
2004,Kelantan,31,P31,Kuala Krai,Mohammad Razali Che Mamat,UMNO,BN,1,0,19148,2416,0.0673355629877369,0.5336677814938684,45259,35880,2416,785,0.92,0.06,0.02,0.0,0.0,
2004,Kelantan,31,P31,Kuala Krai,Abdul Rahim Wan Abdullah,PAS,Pakatan,0,0,16732,-2416,-0.0673355629877369,0.46633221850613155,45259,35880,2416,785,0.92,0.06,0.02,0.0,0.0,
2004,Kelantan,32,P32,Gua Musang,Tengku Razaleigh Hamzah,UMNO,BN,1,0,13570,6598,0.3211955992600526,0.6605977996300263,26137,20542,6598,534,0.82,0.09,0.01,0.09,0.0,
2004,Kelantan,32,P32,Gua Musang,Dr Zulkifli Ahmad,PAS,Pakatan,0,0,6972,-6598,-0.3211955992600526,0.3394022003699737,26137,20542,6598,534,0.82,0.09,0.01,0.09,0.0,
2004,Terengganu,33,P33,Besut,Prof Datuk Dr. Abdullah Mohd Zin,UMNO,BN,1,0,26087,8500,0.1946238036360306,0.5973119018180153,51284,43674,8500,683,0.98,0.02,0.0,0.0,0.0,
2004,Terengganu,33,P33,Besut,Nasharudin Mat Isa,PAS,Pakatan,0,0,17587,-8500,-0.1946238036360306,0.4026880981819847,51284,43674,8500,683,0.98,0.02,0.0,0.0,0.0,
2004,Terengganu,34,P34,Setiu,Mohd Yusof Majid,UMNO,BN,1,0,23079,6696,0.1696822259388779,0.584841112969439,48161,39462,6696,714,0.99,0.01,0.0,0.0,0.0,
2004,Terengganu,34,P34,Setiu,Che Ghani Che Ambak,PAS,Pakatan,0,0,16383,-6696,-0.1696822259388779,0.41515888703056103,48161,39462,6696,714,0.99,0.01,0.0,0.0,0.0,
2004,Terengganu,35,P35,Kuala Nerus,Che Azmi Abd Rahman,UMNO,BN,1,0,24895,4097,0.08966362462521611,0.544831812312608,52468,45693,4097,713,0.99,0.01,0.0,0.0,0.0,
2004,Terengganu,35,P35,Kuala Nerus,Mohd Shukrimun Shamsudin,PAS,Pakatan,0,0,20798,-4097,-0.08966362462521611,0.4551681876873919,52468,45693,4097,713,0.99,0.01,0.0,0.0,0.0,
2004,Terengganu,36,P36,Kuala Terengganu,Razali Ismail,UMNO,BN,1,0,30994,1933,0.032187161768378984,0.5160935808841894,72259,60055,1933,790,0.88,0.12,0.01,0.0,0.0,
2004,Terengganu,36,P36,Kuala Terengganu,Dr Syed Azam Syed Ahmad,PAS,Pakatan,0,0,29061,-1933,-0.032187161768378984,0.4839064191158105,72259,60055,1933,790,0.88,0.12,0.01,0.0,0.0,
2004,Terengganu,37,P37,Marang,Datuk Abdul Rahman Bakar,UMNO,BN,1,0,28076,163,0.0029112861454928646,0.5014556430727465,64367,55989,163,866,0.98,0.02,0.0,0.0,0.0,
2004,Terengganu,37,P37,Marang,Datuk Seri Abdul Hadi Awang,PAS,Pakatan,0,0,27913,-163,-0.0029112861454928646,0.4985443569272536,64367,55989,163,866,0.98,0.02,0.0,0.0,0.0,
2004,Terengganu,38,P38,Hulu Terengganu,Tengku Putera Tengku Awang,UMNO,BN,1,0,23815,7760,0.1946325558063707,0.5973162779031853,45258,39870,7760,633,0.99,0.01,0.0,0.0,0.0,
2004,Terengganu,38,P38,Hulu Terengganu,Muhyidin Abd Rashid,PAS,Pakatan,0,0,16055,-7760,-0.1946325558063707,0.40268372209681463,45258,39870,7760,633,0.99,0.01,0.0,0.0,0.0,
2004,Terengganu,39,P39,Dungun,Datuk Rosli Mat Hassan,UMNO,BN,1,0,26398,4896,0.10221294363256785,0.5511064718162839,55711,47900,4896,708,0.95,0.05,0.0,0.0,0.0,
2004,Terengganu,39,P39,Dungun,Datuk Mustafa Ali,PAS,Pakatan,0,0,21502,-4896,-0.10221294363256785,0.4488935281837161,55711,47900,4896,708,0.95,0.05,0.0,0.0,0.0,
2004,Terengganu,40,P40,Kemaman,Ahmad Shabery Chik,UMNO,BN,1,0,36517,15882,0.2778905375139978,0.6389452687569989,66416,57152,15882,1036,0.91,0.08,0.01,0.01,0.0,
2004,Terengganu,40,P40,Kemaman,Abdl Rahman Yusof,PKR,Pakatan,0,0,20635,-15882,-0.2778905375139978,0.36105473124300114,66416,57152,15882,1036,0.91,0.08,0.01,0.01,0.0,
2004,Penang,41,P41,Kepala Batas,Datuk Seri Abdullah Ahmad Badawi,UMNO,BN,1,0,25403,18122,0.5544608982988618,0.777230449149431,39622,32684,18122,672,0.74,0.22,0.04,0.0,0.0,
2004,Penang,41,P41,Kepala Batas,Abdul Rashid Rasid,PAS,Pakatan,0,0,7281,-18122,-0.5544608982988618,0.2227695508505691,39622,32684,18122,672,0.74,0.22,0.04,0.0,0.0,
